"human","affiliate_group"
"0x03d8581db18275b6231c99952ba9c48e01044fad","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03dcf091ed329ec789e44b30d7cf17b05933f666","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03dda8e1475c386f0c23b38232b52e04f6573fb2","0xda417a862f38ce6cc2ebe61842b1521dc1c11749"
"0x03e24a135bfbffb626faaf49558909d185989f63","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x03e9e7245274f3aa39ce60d6ca0b706a1731272d","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x03ea149506c2c13b6baaabbd683db7d9f5d794ba","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03f58671e3f02c13a3e635f440a0f22a124e1f15","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03f6187953925611cbc0fbd81cccb26df016262c","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03fdd4df802e7ce9ac66a80af0259798d70e0721","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0403b6cee0b7b57f91926b1238def487b866c370","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x04161ea4849dda2accc964937ecb0bd73d0b10f5","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0417899f29726231a9f60d4bad05d9951786c337","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x04221249fcb00701e90dc04e4c9449bdcb3ec930","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x042243eef6b5fb0c24519ff18bb19941ad3b7cfc","0x59075e386576d770083748a5b474b1c5e7f99af2"
"0x0422aebc03f4eda372bac22f031de0791ea57cd4","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x042486aa3cb46ae01330441703e58a526ca5dff7","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x04290039e2c5f24bbd1042e4c06db2f13c306f31","0x1d3663cebf6c7f54be62b210d68eea0e38838582"
"0x04297d1232da0b9d486b7bb258e7173364d11678","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x042bc236d020df3c8d1723f35cd4516b61282a03","0x47fddaea064fed0852c44276c100052f8d34653d"
"0x042cecfb3d89ccbe7ce87a44805fe4a02d4f0afb","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x042ddf3bcf24539375846e8b06332b34e07668f9","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x042f66a5c3b822aa732c6689e286bb868c17f9b7","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x04375588277002eeea7d2a508ca0249423cb1d37","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x04584ed3dce0a2f7655a2d8b634189e588bcffb5","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x04619a2607db2127f0c338961033839b7f28d796","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x047d122314e61bae5a10149d6869dd193e15e9bd","0x2ad4129f650410d4bf1eba7a8d26179534f6cf36"
"0x0486c451fe3370c2cc1c8d9749504a22270aeb67","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0495343d4fe0af9480291b443e165f3d5f50afad","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
